"date","hour_int","load","weekday_int","month_int"
2022-07-30 11:00:00,11,51236.75,7,7
2022-07-30 12:00:00,12,50970,7,7
2022-07-30 13:00:00,13,49445,7,7
2022-07-30 14:00:00,14,47811,7,7
2022-07-30 15:00:00,15,47646.25,7,7
2022-07-30 16:00:00,16,46734.25,7,7
2022-07-30 17:00:00,17,47012.5,7,7
2022-07-30 18:00:00,18,47327.75,7,7
2022-07-30 19:00:00,19,46669.25,7,7
2022-07-30 20:00:00,20,44922.25,7,7
2022-07-30 21:00:00,21,43871.75,7,7
2022-07-30 22:00:00,22,42115.25,7,7
2022-07-30 23:00:00,23,39784.5,7,7
2022-07-31 00:00:00,0,37577.5,1,7
2022-07-31 01:00:00,1,36383.75,1,7
2022-07-31 02:00:00,2,35303.25,1,7
2022-07-31 03:00:00,3,35041.5,1,7
2022-07-31 04:00:00,4,35075,1,7
2022-07-31 05:00:00,5,35515.75,1,7
2022-07-31 06:00:00,6,36091,1,7
2022-07-31 07:00:00,7,38127,1,7
2022-07-31 08:00:00,8,41149.25,1,7
2022-07-31 09:00:00,9,43954.5,1,7
2022-07-31 10:00:00,10,46374,1,7
2022-07-31 11:00:00,11,47928.75,1,7
2022-07-31 12:00:00,12,48261.75,1,7
2022-07-31 13:00:00,13,46843.25,1,7
2022-07-31 14:00:00,14,45865.5,1,7
2022-07-31 15:00:00,15,45437.5,1,7
2022-07-31 16:00:00,16,44821,1,7
2022-07-31 17:00:00,17,45107,1,7
2022-07-31 18:00:00,18,45489.75,1,7
2022-07-31 19:00:00,19,45606,1,7
2022-07-31 20:00:00,20,44705,1,7
2022-07-31 21:00:00,21,44874.25,1,7
2022-07-31 22:00:00,22,43981.75,1,7
2022-07-31 23:00:00,23,41257.25,1,7
2022-08-01 00:00:00,0,39310.75,2,8
2022-08-01 01:00:00,1,38327.75,2,8
2022-08-01 02:00:00,2,38065,2,8
2022-08-01 03:00:00,3,38203.5,2,8
2022-08-01 04:00:00,4,39459.5,2,8
2022-08-01 05:00:00,5,42910,2,8
2022-08-01 06:00:00,6,48830.5,2,8
2022-08-01 07:00:00,7,53892.25,2,8
2022-08-01 08:00:00,8,57349.25,2,8
2022-08-01 09:00:00,9,59243.5,2,8
2022-08-01 10:00:00,10,60628,2,8
2022-08-01 11:00:00,11,61667.75,2,8
2022-08-01 12:00:00,12,61476.25,2,8
2022-08-01 13:00:00,13,60924,2,8
2022-08-01 14:00:00,14,60054.25,2,8
2022-08-01 15:00:00,15,59144.5,2,8
2022-08-01 16:00:00,16,57828.5,2,8
2022-08-01 17:00:00,17,57396,2,8
2022-08-01 18:00:00,18,56650.5,2,8
2022-08-01 19:00:00,19,55673,2,8
2022-08-01 20:00:00,20,53645,2,8
2022-08-01 21:00:00,21,51836.5,2,8
2022-08-01 22:00:00,22,49079.5,2,8
2022-08-01 23:00:00,23,45937,2,8
2022-08-02 00:00:00,0,43376.25,3,8
2022-08-02 01:00:00,1,41814.5,3,8
2022-08-02 02:00:00,2,40887.25,3,8
2022-08-02 03:00:00,3,40803,3,8
2022-08-02 04:00:00,4,41752.25,3,8
2022-08-02 05:00:00,5,44470,3,8
2022-08-02 06:00:00,6,49864,3,8
2022-08-02 07:00:00,7,54629,3,8
2022-08-02 08:00:00,8,58423.25,3,8
2022-08-02 09:00:00,9,60540,3,8
2022-08-02 10:00:00,10,61925.75,3,8
2022-08-02 11:00:00,11,62852.5,3,8
2022-08-02 12:00:00,12,62575.5,3,8
2022-08-02 13:00:00,13,61885.75,3,8
2022-08-02 14:00:00,14,60897.5,3,8
2022-08-02 15:00:00,15,59711.5,3,8
2022-08-02 16:00:00,16,58416,3,8
2022-08-02 17:00:00,17,57158,3,8
2022-08-02 18:00:00,18,56270.75,3,8
2022-08-02 19:00:00,19,55172,3,8
2022-08-02 20:00:00,20,53248,3,8
