ds,y,residuals
2016-01-20 02:00:00,54942.75,-756.55078125
2016-01-20 03:00:00,54731.5,750.2578125
2016-01-20 04:00:00,55536.25,-1.015625
2016-01-20 05:00:00,58516.5,516.2578125
2016-01-20 06:00:00,66352.75,2633.390625
2016-01-20 07:00:00,73301.75,2012.5234375
2016-01-20 08:00:00,75255.0,-1039.6640625
2016-01-20 09:00:00,75224.75,-536.171875
2016-01-20 10:00:00,75797.25,1398.7734375
2016-01-20 11:00:00,75923.5,336.9609375
2016-01-20 12:00:00,75086.0,-50.203125
2016-01-20 13:00:00,74423.5,819.7265625
2016-01-20 14:00:00,73192.0,590.53125
2016-01-20 15:00:00,72635.25,258.671875
2016-01-20 16:00:00,72748.75,-653.234375
2016-01-20 17:00:00,75816.0,899.921875
2016-01-20 18:00:00,76147.5,205.4140625
2016-01-20 19:00:00,74623.25,344.15625
2016-01-20 20:00:00,70221.75,-128.1484375
2016-01-20 21:00:00,66815.0,111.3984375
2016-01-20 22:00:00,64232.75,166.24609375
2016-01-20 23:00:00,59967.0,-742.5078125
2016-01-21 00:00:00,57270.75,883.40625
2016-01-21 01:00:00,55105.75,-76.85546875
2016-01-21 02:00:00,53720.5,-1276.52734375
2016-01-21 03:00:00,53747.25,433.85546875
2016-01-21 04:00:00,54742.25,1174.85546875
2016-01-21 05:00:00,57900.25,-502.8515625
2016-01-21 06:00:00,65429.75,1422.796875
2016-01-21 07:00:00,72566.25,2006.640625
2016-01-21 08:00:00,74450.5,-2007.3125
2016-01-21 09:00:00,74127.25,-780.8515625
2016-01-21 10:00:00,74978.5,978.7421875
2016-01-21 11:00:00,75174.5,535.8125
2016-01-21 12:00:00,74628.5,-741.65625
2016-01-21 13:00:00,74002.0,769.34375
2016-01-21 14:00:00,73060.75,114.90625
2016-01-21 15:00:00,72406.25,-210.390625
2016-01-21 16:00:00,72203.25,-392.578125
2016-01-21 17:00:00,75810.5,1037.1328125
2016-01-21 18:00:00,76340.0,-97.4140625
2016-01-21 19:00:00,74914.0,657.859375
2016-01-21 20:00:00,70807.0,576.3828125
2016-01-21 21:00:00,67406.5,136.078125
2016-01-21 22:00:00,64927.25,249.32421875
2016-01-21 23:00:00,61022.75,489.69921875
2016-01-22 00:00:00,58527.25,1282.03125
2016-01-22 01:00:00,56658.25,880.8515625
2016-01-22 02:00:00,55066.25,-1987.94921875
2016-01-22 03:00:00,54863.25,-269.6875
2016-01-22 04:00:00,55732.25,177.41015625
2016-01-22 05:00:00,58812.0,-1564.7265625
2016-01-22 06:00:00,66137.75,1004.015625
2016-01-22 07:00:00,73233.5,3172.75
2016-01-22 08:00:00,75204.25,1869.125
2016-01-22 09:00:00,75011.5,-1169.21875
2016-01-22 10:00:00,75100.5,-2848.1796875
2016-01-22 11:00:00,75098.25,-558.671875
2016-01-22 12:00:00,74001.5,-3052.3828125
2016-01-22 13:00:00,72395.5,-575.4375
2016-01-22 14:00:00,71068.75,1038.90625
2016-01-22 15:00:00,70382.5,-1144.9609375
2016-01-22 16:00:00,70530.5,-1126.203125
2016-01-22 17:00:00,74598.75,-199.015625
2016-01-22 18:00:00,74784.75,794.875
2016-01-22 19:00:00,72926.5,545.1953125
2016-01-22 20:00:00,68648.75,-942.8203125
2016-01-22 21:00:00,65350.25,960.625
2016-01-22 22:00:00,64002.25,-1292.359375
2016-01-22 23:00:00,60651.75,-173.59375
2016-01-23 00:00:00,57718.75,446.7109375
2016-01-23 01:00:00,54912.75,-579.34765625
